36,편지,김광진
37,말하는대로,처진달팽이
38,주저하는연인들을위해,잔나비
39,이별하는중입니다,이은미
40,녹턴,이은미
41,서른즈음에,김광석
42,좋은사람,박효신
43,영원,sky
44,여행을떠나요,이승기
45,내여자라니까,이승기
46,W.H.I.T.E,W.H.I.T.E
47,네모의꿈,W.H.I.T.E
48,내운명피하고싶어,박은태
49,나는나는음악,박은태
50,겟세마네,박은태
51,거짓말이네,유승우
52,사랑하긴했었나요스쳐가는인연인가요,잔나비
53,폰서트,10cm
54,rain,태연
55,스토커,10cm
56,어땠을까,싸이
57,응원가,어쿠스틱콜라보
58,UYou,에이핑크
59,첫눈,정준일
60,처음사랑하는연인들을위해,정용화
61,여전히아늑해,규현
62,개똥벌레,신형원
63,유행가,송대관
64,너는어땠을까,노을
65,금요일에만나요,아이유
66,그대를사랑하는10가지이유,이석훈
67,그대와나설레임,어쿠스틱콜라보
68,비,폴킴
69,FAKELOVE,방탄소년단
70,불타오르네,방탄소년단
71,RollerCoaster,청하
72,LIKEY,트와이스
73,Gee,소녀시대
74,kissingYou,소녀시대
75,러시안룰렛,레드벨벳
76,Marryme,마크툽
77,ILoveYou,포지션
78,백설공주를사랑한난장이,더크로스
79,나였으면,나윤권
80,이럴거면그러지말지,백아연
81,안아줘,정준일
82,겨울을걷는다,윤딴딴
83,나에게로의초대,조유진박기영
84,미워요,정인
85,총맞은것처럼,백지영
86,비와당신의이야기,윤상현
87,1월부터6월까지,015B
88,촛불하나,GOD
89,보통날,GOD
90,거짓말,GOD
91,기다리다,윤하
92,영화처럼,어쿠스틱콜라보
93,날라리,선미
94,벌써12시,청하
95,마지막처럼,블랙핑크
96,불장난,블랙핑크
97,비행기,거북이
98,기다렸다가,다이나믹듀오
99,광화문에서,규현
100,에너제틱,워너원
101,Blueming,아이유
102,unlucky,아이유
103,그 사람,아이유
104,자장가,아이유
105,늦은밤너의집앞골목길에서,노을
106,우리이렇게헤어지기로해,정준일
107,가을타나봐,바이브
108,MoodIndigo,치즈
109,소년점프,마미손
110,삐삐,아이유
111,예쁜쓰레기,디에이드
112,설렘가득,어쿠스틱콜라보
113,SOLO,제니
114,아름답고도아프구나,비투비
115,멋지게인사하는법,자이언티
116,좋아해,치즈
117,어떻게생각해,치즈
118,PerhapsLove,에릭남치즈
119,깊이아래로,치즈
120,그댄행복에살텐데,김범수
121,감사,김동률
122,Dream,수지백현
123,180도,벤
124,퇴근버스,이준호
125,크리스마스니까,박효신이석훈성시경
126,겨울고백,박효신이석훈성시경
127,ParisInTheRain,Lauv
128,눈이내린다,god
129,하안겨울,김범수박정현
130,미리메리크리스마스,아이유
131,비,폴킴
132,로맨틱겨울,김진표
133,SantaTellMe,아리아나그란데
134,AllIWantForChristmasIsYou,머라이어캐리
135,축제,멜로망스
136,눈의꽃,박효신
137,첫눈에,헤이즈
138,LastChristmas,아리아나그란데
139,MustHaveLove,SG워너비브라운아이드걸스
140,코끝에겨울,어반자카파
141,커플,젝스키스
142,스키장에서,터보
143,12월의기적,EXO
144,흰눈,이루
145,SantaClausIsCominToTown,머라이어캐리
146,눈사람,정승환
147,Snowman,시아
148,DearSanta,태티서
149,비와당신의이야기,부활
150,RainDrop,아이유
151,비도오고그래서,헤이즈
152,사랑비,김태우
153,비가오는날엔,비스트
154,우산,윤하
155,비와당신,럼블피쉬
156,WinterWonderland,제이레빗
157,소나기,10cm
158,잠못드는밤비가내리고,김건모
159,서울의달,김건모
160,우산이두갠데,윤딴딴
161,고속도로로맨스,윤종신
162,여행가는길,이승기
163,Fly,에픽하이
164,8282,다비치
165,상하이로맨스,오렌지캬라멜
166,BadGirlGoodGirl,미쓰에이
167,제주도의푸른밤,태연
168,주입식교육,쿠기
169,우연히봄,로꼬유주
170,순정,코요태
