위로,36,50
절망,36,50
슬픔,36,60
짝사랑,36,60
이별,36,90
희망,37,80
절망,37,50
위로,37,70
사랑,38,70
위로,38,50
고백,38,40
이별,39,100
절망,39,70
슬픔,39,80
이별,40,90
슬픔,40,80
절망,40,50
슬픔,41,70
절망,41,70
슬픔,42,90
이별,42,80
고백,42,30
절망,42,50
절망,43,90
슬픔,43,100
이별,43,60
기쁨,44,70
신남,44,90
고백,45,90
짝사랑,45,60
희망,45,60
동요,46,90
신남,46,80
희망,46,70
동요,47,80
기쁨,47,50
절망,48,90
슬픔,48,70
희망,49,80
신남,49,70
절망,50,90
슬픔,50,70
위로,51,40
신남,51,70
희망,51,80
신남,52,80
이별,52,90
댄스,52,60
희망,53,100
신남,53,80
기쁨,53,50
사랑,53,90
이별,54,90
위로,54,90
슬픔,54,60
짝사랑,55,120
슬픔,55,80
슬픔,56,90
이별,56,90
신남,56,50
위로,57,120
희망,57,90
신남,58,120
희망,58,90
기쁨,58,70
사랑,58,80
이별,59,90
슬픔,59,80
희망,60,90
사랑,60,90
기쁨,60,70
고백,60,80
이별,61,90
슬픔,61,80
동요,62,120
위로,62,80
슬픔,62,90
신남,63,120
위로,63,90
희망,63,80
이별,64,100
사랑,65,80
희망,65,100
기쁨,65,90
고백,66,120
사랑,66,90
희망,66,70
희망,67,90
고백,67,100
사랑,67,100
기쁨,67,80
이별,68,80
슬픔,68,90
위로,68,70
신남,69,80
사랑,69,50
댄스,69,120
댄스,70,120
신남,70,90
위로,70,70
댄스,71,120
신남,71,80
사랑,71,70
희망,72,90
신남,72,80
기쁨,72,70
댄스,72,100
사랑,72,60
댄스,73,100
사랑,73,60
짝사랑,73,80
희망,73,80
희망,74,100
사랑,74,80
댄스,74,70
기쁨,74,70
신남,74,60
댄스,75,100
신남,75,70
사랑,75,50
고백,76,120
사랑,76,100
희망,76,80
고백,77,120
사랑,77,100
희망,77,70
짝사랑,78,90
슬픔,78,60
사랑,78,70
짝사랑,79,100
사랑,79,80
슬픔,79,70
짝사랑,80,100
사랑,80,80
슬픔,80,70
슬픔,81,80
이별,81,80
절망,81,50
신남,82,50
슬픔,82,50
사랑,83,40
희망,83,40
슬픔,83,60
절망,84,60
슬픔,84,80
이별,84,80
이별,85,80
슬픔,85,90
절망,85,90
사랑,86,50
슬픔,86,60
슬픔,87,60
희망,87,50
절망,87,50
희망,88,90
신남,88,60
슬픔,89,70
이별,89,70
절망,90,50
이별,90,100
슬픔,90,70
짝사랑,91,100
슬픔,91,70
사랑,91,70
짝사랑,92,100
슬픔,92,80
사랑,92,70
댄스,93,110
신남,93,70
댄스,94,90
신남,94,70
사랑,94,50
댄스,95,100
짝사랑,95,60
사랑,95,60
신남,95,70
댄스,96,105
사랑,96,60
신남,96,70
신남,97,100
위로,97,70
댄스,97,65
위로,98,100
슬픔,98,60
슬픔,99,70
이별,99,90
댄스,100,110
신남,100,90
사랑,100,40
